слово;гипероним;text;link
ризотта;еда;поддержание жизни и здоровья живого организма с помощью пищи;https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D0%B5
ризотта;пища;любое вещество, пригодное для еды и питья живым организмам для пополнения запасов энергии и необходимых ингредиентов для нормального течения химических реакций обмена веществ: белков, жиров, углеводов, витаминов, минералов и микроэлементов;https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%89%D0%B0
ризотта;произведение;создание, продукт труда, творчества;https://xn--b1advjcbct.xn--p1ai/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5/%D0%BF%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5
ризотта;творение;в терминах монотеистических религий любой объект, который существует в мире;https://ru.wikipedia.org/wiki/%D0%A2%D0%B2%D0%BE%D1%80%D0%B5%D0%BD%D0%B8%D0%B5_(%D0%BE%D0%B1%D1%8A%D0%B5%D0%BA%D1%82)
риккетсия;микроорганизм; мелкие, специализированные формы бактерий, обычно паразитирующие внутри эпиталиальных клеток кишечного тракта насекомых и клещей. ;https://www.krugosvet.ru/enc/biologiya/rikketsii
риккетсия;бактерия;домен прокариотических микроорганизмов;https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BA%D1%82%D0%B5%D1%80%D0%B8%D0%B8
риккетсия;вирус клещевого энцефалита; переносимый клещами арбовирус, вызывающий клещевой энцефалит.;https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%80%D1%83%D1%81_%D0%BA%D0%BB%D0%B5%D1%89%D0%B5%D0%B2%D0%BE%D0%B3%D0%BE_%D1%8D%D0%BD%D1%86%D0%B5%D1%84%D0%B0%D0%BB%D0%B8%D1%82%D0%B0
риккетсия;головная вошь; одна из двух форм, или морфотипов человеческой вши;https://ru.wikipedia.org/wiki/Головная_вошь
риккетсия;паразит; организм, живущий за счёт другого организма.;https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B0%D0%B7%D0%B8%D1%82_(%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D1%8F)
рислинг;сорт;это сорт, созревание которого происходит медленно и продолжается вплоть до ноября;https://wineclass.citylady.ru/riesling.htm
рислинг;растение;биологическое царство, одна из основных групп многоклеточных организмов, включающая в себя в том числе мхи, папоротники, хвощи, плауны, голосеменные и цветковые растения. Нередко к растениям относят также все водоросли или некоторые их группы. ;https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%82%D0%B5%D0%BD%D0%B8%D1%8F
рислинг;сорт винограда;растение, которое принадлежит к отделу цветковые, классу двудольные, порядку виноградоцветные, семейству виноградовые, роду виноград. Плоды винограда представляют собой гроздья сладких ягод;https://nashzelenyimir.ru/%D0%B2%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4/
рислинг;вино;алкогольный напиток (крепость: натуральных — 9—16 % об., креплёных — 16—22 % об.), получаемый полным или частичным спиртовым брожениемвиноградного сока ;https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BE
рислинг;напиток;специально приготовленная жидкость для питья;https://ru.wiktionary.org/wiki/%D0%BD%D0%B0%D0%BF%D0%B8%D1%82%D0%BE%D0%BA
рисовод;растениевод;Специалист по рисоводству;https://dic.academic.ru/dic.nsf/ogegova/208434
рисовод;специалист;работник, выполнение обязанностей которого предусматривает наличие начального, среднего или высшего профессионального (специального) образования или хороших практических знаний и/или практического опыта в какой-либо сфере;https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82
рисовод;работник;субъект трудового права, физическое лицо, работающее по трудовому договору у работодателя и получающее за это заработную плату.;https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B1%D0%BE%D1%82%D0%BD%D0%B8%D0%BA
рисовод;крестьянин;сельский житель, занимающийся возделыванием сельскохозяйственных культур и разведением сельскохозяйственных животных как своей основной работой;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B5%D1%81%D1%82%D1%8C%D1%8F%D0%BD%D0%B8%D0%BD
рисовод;работник хозяйственной части;сельский житель, занимающийся возделыванием сельскохозяйственных культур и разведением сельскохозяйственных животных как своей основной работой;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B5%D1%81%D1%82%D1%8C%D1%8F%D0%BD%D0%B8%D0%BD
рисоводство;область;область сельского хозяйства, которая занимается возделыванием и хранением рисовыхкультур.;https://dic.academic.ru/dic.nsf/ruwiki/518068
рисоводство;вид;это совокупность близких по происхождению организмов;http://wikiwhat.ru/%D0%92%D0%B8%D0%B4_(%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F)
рисоводство;подотрасль ;это крупная группа правовых норм, состоящая из ряда институтов в составе отрасли права и регулирующая близкие отношения определённого вида.;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B4%D0%BE%D1%82%D1%80%D0%B0%D1%81%D0%BB%D1%8C_%D0%BF%D1%80%D0%B0%D0%B2%D0%B0
рисоводство;отрасль ;отдельная сфера науки, знаний, производства;https://ru.wikipedia.org/wiki/%D0%9E%D1%82%D1%80%D0%B0%D1%81%D0%BB%D1%8C
рисоводство;сельское хозяйство;отрасль экономики, направленная на обеспечение населения продовольствием (пищей, едой) и получение сырья для ряда отраслей промышленности.;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5_%D1%85%D0%BE%D0%B7%D1%8F%D0%B9%D1%81%D1%82%D0%B2%D0%BE
рогатка;метательное оружие;метательное оружие, в котором ускоряемое тело (снаряд) приобретает кинетическую энергию за счёт потенциальной энергии, запасённой в растянутой резине;https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B3%D0%B0%D1%82%D0%BA%D0%B0
рогатка;заграждение; сооружения, устройства или совокупность мер по разрушению чего-либо направленных на препятствование или затруднение продвижению сил противника.;https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D1%80%D0%B0%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5
рогатка;препон;правильный вариант написания слова, пишется с буквой «и» в первом слоге;https://kak-pravilno.net/priton-ili-preton-kak-pravilno/
рогатка;застава;Место въезда в город, являющееся пунктом контроля привозимых грузов и приезжающих.;https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D1%81%D1%82%D0%B0%D0%B2%D0%B0
рогатка;препятствие;это предмет, заграждающий путь, задерживающий чьё-либо передвижение по дороге, недающий кому-либо или чему-либо пройти, проехать.;https://dic.academic.ru/dic.nsf/dmitriev/4097/%D0%BF%D1%80%D0%B5%D0%BF%D1%8F%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B5
рогожа;ткань;грубая хозяйственная ткань;https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D1%80%D0%BE%D0%B3%D0%BE%D0%B6%D0%B0
рогожа;мочалка;пучок каких-либо волокон (или мочал), употребляемых для мытья и стирания грязи;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%87%D0%B0%D0%BB%D0%BA%D0%B0
рогожа;материал;вещество или смесь веществ, из которых изготавливается продукция, которые способствуют процессу труда, либо придают изготовленной продукции определенные свойства.;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB
рогожа;текстиль;текстильные изделия и ткани из гибких, мягких волокон, изготавливаемые обычно из пряжи на ткацком станке. ;https://dic.academic.ru/searchall.php?SWord=%D0%BF%D0%BE%D0%BB%D0%BE%D1%82%D0%BD%D0%BE&from=xx&to=ru&did=enc_colier&stype=
рогожа;полотно;ткань, выработанная из близких по толщине (номеру) нитей в основе и утке. ;https://dic.academic.ru/searchall.php?SWord=%D0%BF%D0%BE%D0%BB%D0%BE%D1%82%D0%BD%D0%BE&from=xx&to=ru&did=enc_colier&stype=
рогоносец;существо; мужчина, жена которого ему изменила (или делает это систематически). Широко известноевыражение «Наставить рога» означает измену супругу.;https://dic.academic.ru/dic.nsf/ruwiki/276066
рогоносец;муж;Супруг, благоверный, сожитель;https://dic.academic.ru/searchall.php?SWord=%D0%BC%D1%83%D0%B6&from=xx&to=ru&did=&stype=0
рогоносец;человек;высшее из земных созданий, одаренное разумом, свободной волей и словесною речью;https://dic.academic.ru/searchall.php?SWord=%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA&from=xx&to=ru&did=&stype=0
рогоносец;примат;"человекоподобная обезьяна, узконосые и плосконосые обезьяны; гоминид, понгид, человек; ";https://dic.academic.ru/searchall.php?SWord=%D0%BF%D1%80%D0%B8%D0%BC%D0%B0%D1%82&from=xx&to=ru&did=&stype=0
рогоносец;млекопитающее;класс позвоночных животных, основной отличительной особенностью которых является вскармливание детёнышей молоком;https://ru.wikipedia.org/wiki/%D0%9C%D0%BB%D0%B5%D0%BA%D0%BE%D0%BF%D0%B8%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D0%B5
рододендрон;растение; род кустарников или небольших деревьев (семейство вересковые).;https://dic.academic.ru/dic.nsf/enc1p/41170
рододендрон;организм;живое тело, обладающее совокупностью свойств, отличающих его от неживой материи, в том числе обменом веществ, самоподдерживанием своего строения и организации, способностью воспроизводить их при размножении, сохраняя наследственные признаки;https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%BC
рододендрон;дерево;жизненная форма деревянистых растений с единственной, отчётливо выраженной, многолетней, в разной степени одревесневшей, сохраняющейся в течение всей жизни, разветвлённой (кроме пальм) главной осью — стволом;https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%80%D0%B5%D0%B2%D0%BE
рододендрон;цветок;сложная система органов семенного размножения цветковых (покрытосеменных) растений;https://ru.wikipedia.org/wiki/%D0%A6%D0%B2%D0%B5%D1%82%D0%BE%D0%BA
рододендрон;кустарник;"жизненная форма растений; многолетние деревянистые растения высотой 0,8—6 метров";https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%81%D1%82%D0%B0%D1%80%D0%BD%D0%B8%D0%BA
розга;ветка древесная;Тонкая свежесрезанная ветка;https://dic.academic.ru/dic.nsf/ushakov/1011178
розга;прут;тонкая ветка дерева или кустарника без листьев;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D1%83%D1%82_(%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D1%8F)
розга;ветвь;изначально отросток дерева, имеющий продолговатую форму и обычно покрытый листьями либо цветами.;https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%82%D0%B2%D1%8C
розга;растение;биологическое царство, одна из основных групп многоклеточных организмов, включающая в себя в том числе мхи, папоротники, хвощи, плауны, голосеменные и цветковые растения. Нередко к растениям относят также все водоросли или некоторые их группы;https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%82%D0%B5%D0%BD%D0%B8%D1%8F
розга;дерево;жизненная форма деревянистых растений с единственной, отчётливо выраженной, многолетней, в разной степени одревесневшей, сохраняющейся в течение всей жизни, разветвлённой (кроме пальм) главной осью — стволом;https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%80%D0%B5%D0%B2%D0%BE
рокабилли;музыкальный жанр;музыкальный жанр, ранняя разновидность рок-н-ролла, представляющая собой синтез рок-н-ролла и кантри-музыки (особенно её южного поджанра;https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%BA%D0%B0%D0%B1%D0%B8%D0%BB%D0%BB%D0%B8
рокабилли;направления;культурным направлением и «бунтарским» по отношению к пуританским ценностям образом жизни, задающим моду в одежде и прическах, танцам в стиле джайв, увлечение мотоциклами и автомобилями.;https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%BA%D0%B0%D0%B1%D0%B8%D0%BB%D0%BB%D0%B8
рокабилли;музыка;вид искусства;https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B7%D1%8B%D0%BA%D0%B0
рокабилли;стиль;форма жизни и деятельности, характеризующая особенности общения, поведения и склада мышления;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B8%D0%BB%D1%8C
рокабилли;вид;это совокупность близких по происхождению организмов;http://wikiwhat.ru/%D0%92%D0%B8%D0%B4_(%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F)
ротавирус;реовирус;микробиол. представитель семейства РНК-содержащих сферических вирусов ;https://ru.wiktionary.org/wiki/%D1%80%D0%B5%D0%BE%D0%B2%D0%B8%D1%80%D1%83%D1%81
ротавирус;вирус;мед., биол. микроскопическая частица, способная инфицировать клетки живых организмов и состоящая из белковой оболочки и нуклеиновой кислоты, несущей генетическую информацию ;https://ru.wiktionary.org/wiki/%D0%B2%D0%B8%D1%80%D1%83%D1%81
ротавирус;существо;микробиол. вирус с двунитевой сегментированной РНК семейства реовирусов;https://ru.wiktionary.org/wiki/%D1%80%D0%BE%D1%82%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81
ротавирус;организм;живое тело, обладающее совокупностью свойств, отличающих его от неживой материи, в том числе обменом веществ, самоподдерживанием своего строения и организации, способностью воспроизводить их при размножении, сохраняя наследственные признаки;https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%BC
ротавирус;живость;живое тело, обладающее совокупностью свойств, отличающих его от неживой материи, в том числе обменом веществ, самоподдерживанием своего строения и организации, способностью воспроизводить их при размножении, сохраняя наследственные признаки;https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%BC
роуд-муви;кино;кино фильм, действие которого происходит во время путешествия по дороге;https://ru.wiktionary.org/wiki/%D1%80%D0%BE%D1%83%D0%B4-%D0%BC%D1%83%D0%B2%D0%B8
роуд-муви;фильм; фильм, действие которого происходит во время путешествия по дороге ;https://ru.wiktionary.org/wiki/%D1%80%D0%BE%D1%83%D0%B4-%D0%BC%D1%83%D0%B2%D0%B8
роуд-муви;путешествия ; фильм, действие которого происходит во время путешествия по дороге ;https://ru.wiktionary.org/wiki/%D1%80%D0%BE%D1%83%D0%B4-%D0%BC%D1%83%D0%B2%D0%B8
роуд-муви;произведение;Творение, создание, работа, дело, изделие, поделка, действие, детище, плод, препарат, фабрикат. Лучшее произведение шедевр, перл создания;https://dic.academic.ru/searchall.php?SWord=%D0%BF%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5&from=xx&to=ru&did=ushakov&stype=
роуд-муви;творение;Живое существо, создание;https://dic.academic.ru/dic.nsf/ushakov/1051698
руккола;растение;биологическое царство, одна из основных групп многоклеточных организмов, включающая в себя в том числе мхи, папоротники, хвощи, плауны, голосеменные и цветковые растения. Нередко к растениям относят также все водоросли или некоторые их группы. ;https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%82%D0%B5%D0%BD%D0%B8%D1%8F
руккола;организм;живое тело, обладающее совокупностью свойств, отличающих его от неживой материи, в том числе обменом веществ, самоподдерживанием своего строения и организации, способностью воспроизводить их при размножении, сохраняя наследственные признаки;https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%BC
руккола;трава; однолетнее травянистое растение рода Индау;https://ru.wikipedia.org/wiki/%D0%92%D0%BA%D1%83%D1%81%D0%BE%D0%B2%D1%8B%D0%B5_%D0%B4%D0%BE%D0%B1%D0%B0%D0%B2%D0%BA%D0%B8
руккола;ингредиент ;один и компонентов блюда ;https://ru.wikipedia.org/wiki/%D0%92%D0%BA%D1%83%D1%81%D0%BE%D0%B2%D1%8B%D0%B5_%D0%B4%D0%BE%D0%B1%D0%B0%D0%B2%D0%BA%D0%B8
руккола;приправа;отдельные части биологических продуктов растительного происхождения и их смеси, предназначенные для улучшения вкусовых и ароматических качеств приготавливаемых продуктов питания и готовых блюд.;https://ru.wikipedia.org/wiki/%D0%92%D0%BA%D1%83%D1%81%D0%BE%D0%B2%D1%8B%D0%B5_%D0%B4%D0%BE%D0%B1%D0%B0%D0%B2%D0%BA%D0%B8
рукодельница;создательница;Женщина, искусно занимающаяся рукоделием;https://dic.academic.ru/dic.nsf/efremova/239467/%D0%A0%D1%83%D0%BA%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%86%D0%B0
рукодельница;специалистка; Работник в области какой н. определённой специальности. ;https://dic.academic.ru/dic.nsf/efremova/239467/%D0%A0%D1%83%D0%BA%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%86%D0%B0
рукодельница;работница;с дополнением в род. п. лицо женского пола, работающее в какой-либо области трудовой деятельности либо на каком-то предприятии;https://ru.wiktionary.org/wiki/%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BD%D0%B8%D1%86%D0%B0
рукодельница;творительница;человек который творит;https://dic.academic.ru/dic.nsf/efremova/239467/%D0%A0%D1%83%D0%BA%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%86%D0%B0
рукодельница;мастерица;мастер определенного дела;https://dic.academic.ru/dic.nsf/efremova/239467/%D0%A0%D1%83%D0%BA%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%86%D0%B0
рулада;украшение;раскатистый оборот как украшение;https://xn--b1advjcbct.xn--p1ai/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5/%D1%80%D1%83%D0%BB%D0%B0%D0%B4%D0%B0
рулада;мелизм;складывающиеся из терцовых ходов голоса;https://xn--b1advjcbct.xn--p1ai/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5/%D1%80%D1%83%D0%BB%D0%B0%D0%B4%D0%B0
рулада;звук;быстро исполненный, а также складывающиеся из терцовых ходов голоса;https://xn--b1advjcbct.xn--p1ai/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5/%D1%80%D1%83%D0%BB%D0%B0%D0%B4%D0%B0
рулада;виртуозный прием в пений;встречается преимущ. в партиях колоратурного сопрано.;https://xn--b1advjcbct.xn--p1ai/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5/%D1%80%D1%83%D0%BB%D0%B0%D0%B4%D0%B0
рулада;пассаж;быстрый виртуозный пассаж;https://xn--b1advjcbct.xn--p1ai/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5/%D1%80%D1%83%D0%BB%D0%B0%D0%B4%D0%B0
рулька;мясо;"кулин. часть свиного окорока (сырого или копчёного), прилегающая к коленному суставу; свиная голень или предплечье";https://ru.wiktionary.org/wiki/%D1%80%D1%83%D0%BB%D1%8C%D0%BA%D0%B0
рулька;окорок;часть свиной туши;https://ru.wikipedia.org/wiki/%D0%9E%D0%BA%D0%BE%D1%80%D0%BE%D0%BA
рулька;блюдо;блюдо итальянской кухни из риса, с мягким, сливочным вкусом. Первое письменное упоминание о нём встречается только в XIX веке.;https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D0%B5
рулька;еда;поддержание жизни и здоровья живого организма с помощью пищи;https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D0%B5
рулька;пища;любое вещество, пригодное для еды и питья живым организмам для пополнения запасов энергии и необходимых ингредиентов для нормального течения химических реакций обмена веществ: белков, жиров, углеводов, витаминов, минералов и микроэлементов;https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%89%D0%B0
русак;заяц;зоол., разг. то же, что заяц-русак, серый (русый) заяц вида Lepus europaeus;https://ru.wiktionary.org/wiki/%D1%80%D1%83%D1%81%D0%B0%D0%BA
русак;животное;зоол. представитель фауны, живой организм из царства Animalia, обычно отличаемый от представителей царства растений (Plantae), питающийся готовыми органическими соединениями и способный активно передвигаться ;https://ru.wiktionary.org/wiki/%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D0%BE%D0%B5
русак;млекопитающее;класс позвоночных животных, основной отличительной особенностью которых является вскармливание детёнышей молоком;https://ru.wikipedia.org/wiki/%D0%9C%D0%BB%D0%B5%D0%BA%D0%BE%D0%BF%D0%B8%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D0%B5
русак;славянская фамилия;фамилия славянина;https://ru.wiktionary.org/wiki/%D1%80%D1%83%D1%81%D0%B0%D0%BA
русак;человек;высшее из земных созданий, одаренное разумом, свободной волей и словесною речью;https://dic.academic.ru/searchall.php?SWord=%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA&from=xx&to=ru&did=&stype=0
русизм;выражение;собирательное сленговое название конгломерата националистического мировоззрения, объявляющего русский народ высшей ценностью;https://ru.wiktionary.org/wiki/русизм
русизм;слово;заимствование из русского языка в других языках ? Отсутствует пример употребления (см. рекомендации).;https://ru.wiktionary.org/wiki/%D1%80%D1%83%D1%81%D0%B8%D0%B7%D0%BC
русизм;оборот речи;собирательное сленговое название конгломерата националистического мировоззрения, объявляющего русский народ высшей ценностью;https://ru.wiktionary.org/wiki/%D1%80%D1%83%D1%81%D0%B8%D0%B7%D0%BC
русизм;термин;слово или словосочетание, являющееся названием некоторого понятия какой-нибудь области науки, техники, искусства и так далее.;https://дословно.рф/значение/термин
русизм;вид;это совокупность близких по происхождению организмов;http://wikiwhat.ru/%D0%92%D0%B8%D0%B4_(%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F)
рыжик;гриб;пластинчатый съедобный гриб порядка агариковых, имеющий шляпку желтовато-розового цвета с загнутыми книзу краями;https://ru.wiktionary.org/wiki/%D1%80%D1%8B%D0%B6%D0%B8%D0%BA
рыжик;еда;ботан. травянистое растение семейства крестоцветных (капустных), с жёлтыми цветками, разводимое для получения масла из семян ;https://ru.wiktionary.org/wiki/%D1%80%D1%8B%D0%B6%D0%B8%D0%BA
рыжик;трава;перен., разг. некто рыжеволосый или с рыжей шерстью;https://ru.wiktionary.org/wiki/%D1%80%D1%8B%D0%B6%D0%B8%D0%BA
рыжик;растение ;биологическое царство, одна из основных групп многоклеточных организмов, включающая в себя в том числе мхи, папоротники, хвощи, плауны, голосеменные и цветковые растения. Нередко к растениям относят также все водоросли или некоторые их группы;https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%82%D0%B5%D0%BD%D0%B8%D1%8F
рыжик;особь;название группы видов грибов рода Млечник;https://ru.wikipedia.org/wiki/%D0%A0%D1%8B%D0%B6%D0%B8%D0%BA_(%D0%B3%D1%80%D0%B8%D0%B1)
рябинник;организм;Большой серый дрозд, глотающий ягоды целиком;https://xn--b1advjcbct.xn--p1ai/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5/%D1%80%D1%8F%D0%B1%D0%B8%D0%BD%D0%BD%D0%B8%D0%BA
рябинник;птица;Птица семейства дроздов.;https://xn--b1advjcbct.xn--p1ai/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5/%D1%80%D1%8F%D0%B1%D0%B8%D0%BD%D0%BD%D0%B8%D0%BA
рябинник;дрозд; распространённый вид европейских дроздов. ;https://xn--b1advjcbct.xn--p1ai/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5/%D1%80%D1%8F%D0%B1%D0%B8%D0%BD%D0%BD%D0%B8%D0%BA
рябинник;растительность;ботан. листопадный кустарник семейства розоцветных ;https://ru.wiktionary.org/wiki/%D1%80%D1%8F%D0%B1%D0%B8%D0%BD%D0%BD%D0%B8%D0%BA
