text,tonality
"некоторые повести просто порадовали, а некоторые зацепили так, что захотелось поставить оценку ГОРАЗДО более высокую, чем возможная десятка особо хорошо, на мой взгляд, вышла ""Печаль гота Одина""....",10
"все же в небольших повестях, как было в первой части сериала, читалось более живо читается интересно, но местами излишне тягуче...",9
"неплохая книга, но... для детей множество упрощенностей жизни и психологии персонажей такие книги читаются ""запоем"" в средне-подростковом в средне-подростковом возрасте...",6
"в советской фантастике возникали произведения такого типа достаточно редко трагедия ученого-идеалиста, желающего сделать мир более совершенным... и доводящий его (мир) до катастрофы...",9
"Перумов, как обычно, пишет очень захватывающие книги читается хорошо и интересно",9
"у меня как раз в таком возрасте она довольно сложно пошла, еле-еле до конца дочитала",7
грустное наблюдение угасания Империи и наконец то Флэндри влюбляется сам :),7
"была первой моей книгой, где я столкнулся с понятием алтернативного развития сюжет засасывает с самого начала мировая война с участием магии, оборотней и ведьм - ВПЕЧАТЛЯЕТ! :)",9
"Я бы оценила произведение как отличное, если б не невозможность перечитать. Крайне тяжёлый осадок.",8
"Именно по детским впечатлениям и сужу, и считаю, что перечитывать не стоит, что б не испортить мнения :) Слишком мало нравится произведений, что бы жертвовать даже иллюзией.",10
"Опять же сужу по детским впечатлениям, произведение-то не взрослое...",9
"уэллса в принципе недолюбливаю, а ""Война"" просто хороша а если учесть, что о пришельцах и столкновениях никто раньше не писал...",9
"сильное произведение, но не рискну читать заново",8
"Гудкаинд в этом правиле умудрился насовать все возможные жанры в произведение - это и фэнтези, это и философия, это еще и любовный роман!!! :-)",10
"Какое милое, доброе, страшное произведение... Трагичность истории и душа малыша, странная и притягивающая...",10
Читала еще и в другом переводе - Луна жестко стелет. Этот перевод шел при контакте с Ханлайном. И там сохранены особенности речи обитателей Луны - супер одним словом!,9
"Ну че могу сказать - Ханлайн высказал свое отношение к черным. Из серии: Ненавижу две вещи - рассизм и негров... Идея книги хорошая, отличная (особенно часть как они выживали, после перенесения в будущее - любителям Необитаемого острова понравится), но поеданием людей он все испортил - ИМХО",6
"А почитали бы вы Прачета на английском - у вас просто не было бы слов... Потрясающий автор, отличный язык, отменный сюжет",9
"Прелесть, просто прелесть - эта битва добра и зла, где добро не всегда добро, а зло тем более не всегда! Отличный юмор!",9
"Аззи просто душка! Про Фауста просто молчу - читайте, обхохочитесь ;-)",9
"Больше всего понравилось описание всяких подарков, которые делали смотрителю путешественники :-)",9
Реально боялась пока читала... Психология выписана отлично,9
"Главные герои - джентельмен и его слуга - настолько англичане, что можно уже не сомневаться, что сюжет будет удачен. Типичный англичанин решает проблемы. Блеск",9
"Не ожидала от Дункана такой слабой вещи. Идея отличная - клинки и все такое, но читала с напрягом... Хотя, может это перевод такой дурацкий.",6
в целом неплохо но концовка смазана,7
"Впервый раз прочитала в классе в 6 или в 5. Как меня захватили эти книги! Правда, в том возрасте вниклась только в первый том. На второй не хватило опыта чтения фантастики, чтобы понять до конца. Но сколько раз я перечитывала эту вещь... Такой зрелой, серьезной научной фантастики редко можно найти. Всем любителям этого жанра рекомендуется!",9
"Отличная вещь, придумать такой мир - это просто супер! А чего стоит одна лишь расстановка книг в доме у главного героя... И смеялась до слез, и плакала от умилиния и сострадания пока читала эту книгу. Я бы даже все 10 балов поставила!Но вот концовка книги слишком смазана... Жалко даже...",8
"но! когда начал читать, то понял, что не могу оторваться. давно не попадалось настолько добротного и качественного для чтения! отдельно порадовали более поздние комментарии одного из второстепенных героев и вставки ""Действо об Илочечонке""",10
"Читалось как хорошая космическая фантастика. Чего-то особенного, необычного не заметила. Я не говорю про стиль - я про идею. Новостные вставки - это шик, это просто перлы. Прямо как в жизни, так же врут и не краснеют. Но вот что заставило меня содрогнуться, так это концовка. Мне плохо было - откровенно плохо. Муж испугался, что со мной. Пробрало до самых костей. И я понимаю, почему Перумов смазал концовку, пото как если бы он ее развил, то читателей пришлось бы откачивать. Юр, ты только вдумайся в эмоции и переживания главного героя. Свихнуться точно можно... Вот... ИМХО - впечатлительным детям не читать!!! А любителям жанра - ВЕЛКОМ!!!",8
"очень порадовала книга местами мрачноватый, местами смешной мир затягивает",8
Ой какой шик эта вещь!!! А концовка вас убьет окончательно!!!,9
"До чего же тяжолая вещь... Тяжелая не потому, что тяжело читается, а потому что глубокая она - дна не видно, как и не видно дна в душе человеческой, о которой собственно и речь... Как я мечтала прибить этого капитана, когда читала... Так же я состадала ему в конце книги...",9
"Отличнейшая вещь! Особенно, если кто-то любит собак - это книга для вас!!! Не оторветесь! Ну и так же всем, кто верит в настоящую дружбу, любовь и надежду!",9
"Во-во, полностью согласна! Эту книгу можно использовать как ""Энциклопедию сурков""! Просто завораживает, как они все это отгрохали!!! Всем любителям приключенческого жанра рекомендую!",8
"одно из самых любимых произведений детско-подросткового периода :) всегда нравилось описание мощи человека, который может выкарабкаться из самой ж0?ы просто изобилует роман инструкциями в стиле ""сделай сам"" :)",9
"Наконец-то дочитал. Хоть и довольно тяжелый текст, но вполне интересный (710). Конечно же есть жутко злобный славянин Вова Харконен, присутствует, как дань феминизму, крутая женщина, главные герои, словно перумовские маги проникают друг другу в сознание, да и вообще мне часто Дюна напоминала фентези, переодетую в нф. Коварные интриги, когда хитрость на хитрости сидит и хитростью погоняет. Но зато есть и замечательные герои, которые при всей своей навороченности кажутся реальными людьми (мне больше всего понравился Гурни Халлек), очень качественно прописанными. Персонажи думают, взвешивают решения, ищут пути, а не прутся напролом, живут, а не существуют в виде комбинации буковок на странице. Да и антураж не подводит ? необычность обстановки постоянно подчеркивается мелкими штришками, дополняется и усиливается, отчего веришь и в реальность окружающего героев мира. Еще меня Ирулан своим графоманством убила ? вот это коммерчески успешный автор!",7
"Первая книга сериала просто отличнейшее произведение! Выдумать такой мир, где проводят эксперименты над человечеством... А самое ,что меня порадовало, это образ Марк Твена! Любителям научной приключенческой фантастики с тяготением к трепаниции человеческой природы - рекомендую!",9
мне показалось уж больно затянутым чуть не бросил на первых десятках страниц динамика пошла очень неплохая только в самой развязке,6
"ну уж больно напоменает Хайнлайновскую ""Луна - суровая хозяйка"", но с русским уклоном :) эдакое ""сделай сам свое государство"", когда мировые державы против :) читается очень легко",8
как же автор любит вдаваться в техническое описание происходящего! треть всей книги - технические описания это пару раз меня немного начинало напрягать но в целом книга понравилась,7
"Автор пытался построить внутренне непротиворечивый мир, который бы затягивал внутрь себя читателя, мир, превосходящий его же цикл ""Многоярусный мир"". В какой-то степени это получилось. Во время прочтения книги надо мной висело ощущение неразгаданной загадки... К сожалению, в романе вопросов на порядок больше чем ответов на них. А герои начинают жить самостоятельной жизнью... марионеток, движущихся неизвестно куда без особых побудительных мотивов.",8
"Байка про бесшабашное русское разгильдяйство, поданная под брендом ""альтернативной географии"". Написано хорошо, читать приятно, вот только фантастический элемент здесь минимален. Назвать этот роман фантастикой просто язык не поворачивается...",9
"На мой взгляд одна из самых лучших книг Кларка, в первый раз прочитана лет так 10 назад и с тех пор перечитывал несколько раз... Весьма необычный вариант развития человечества :)",10
"Наряду с ""Осенними визитами"" одна из лучших вещей Лукьяненко.",10
"Интересный, не тривиальный сюжет, который неплохо затягивает... В минусах - огромное количество ошибок.",7
"Проехать там, где другим это не под силу, чтобы привезти сыворотку в город, охваченный эпидемией. На это способен только бандит со стажем - остальные просто погибнут в пути. Но и сам путь изменяет человека, а может быть просто раскрывает его глубины. А может просто город, где его не знают, где его считают героем побуждает Тэннера стать им. Книгу стоит прочитать.",9
Приятный такой фанфик. Настроение хорошо передаёт.,8
"когда-то мне сестричка привезла эту книжецу так, почитать, вдруг понравится.. ну и перед сном я решил почиать несколько страниц, оторвавшись от книжки на последней странице, обнаружил, стрелки часов уже на 6 утра.. вобщем этот киберпанк просто так не отпускает",10
"с этого произведения началось мое знакомство с необятным миром художественной литературы.. ну а собственно, писать отзыв по Властелину Колец бесполезно, ибо он относится к той серии произведений, что либо читателю нравятся, либо не нравятся, но равнодушным ВК никого не оставит",10
очень приятная эдакая сказочка-фэнтези :),8
"Что меня в ней поразило так это крайние чувство справедливости и доброта присущие главным героям. При этом все персонажи (включая отрицательных) выглядят вполне реальными. Прочитав кучу фантастики, могу с уверенностью сказать, что не встречал героя более достойного, чем Волкодав носить звание - воин света! И при этом мне книга вовсе не показалась пафосной. Все выглядит вполне естественно.",9
"на мой взгляд лучшее из ""коротеньких"" произведений Преумова, постоянный экшн не дает расслабиться.. этопроизведение, пожалуй, можно было бы очень красиво экранизировать кстати, когда-то это даже планировалось(а может уже и снимается)",10
"одно из лучших произведений авторов когда первый раз читал, то окунался в этот мир с головой теперь надеюсь на хохлов, которые делают компутерную игру ""S.T.A.L.K.E.R."" - может как раньше ""с головой"" получится?.. :)",10
Жаль было заканчивать путешествие по виртуальному миру,7
"А у вас не возникает ощущения, что все мы немного сталкеры. А если имименно ты найдёшь золотой шар? И чем ты готов ради этого пожертвовать?",9
"Очень живо, остро, искромётно... как раз то, что нужно :)",10
Лучший(IMHO) роман перумова. Книга не отпускает ни на минуту. Постоянное головокружительное развитие сюжета приводит к неменее интересной развязке. Читайте ),10
Книга действительно затягивает. Великолепный виртуальный мир. Эх самому бы побродить )))),8
"Я бы назвал это приключенческой фантастикой. Что-то вроде квеста в компьютерных играх. Также подходящая характеристика -техномагия. Нет ни батальных сцен, ни большого количества магии, ни философии с психологией. Зато классный сюжет,мир и ненавязчивый юмор. Книга читается очень легко и крайне интересна. Рекомендую всем любителям путешествий и приключений в классическом варианте!",10
"По-моему прочитать эту книгу стоит каждому кто... Да впрочем каждому! Тут нет головокружительных погонь, артефактов дарующих власть над Миром или героев с лёгкостью завоёвывающих королевства, зато есть тут жизнь. Жизнь наследника обедневшего рода, пытающегося за год прожить целую жизнь.",9
"Вряд ли есть человек увлекающийся фэнтези, но не слышавший об этом произведении... Но если вдруг такие есть, мой вам совет - эту вещь прочитать нужно обязательно :).",9
"После прочтения этого произведения, чесное слово гордость за людей взяла! Не сломать нас каким-то захудалым инопланетным уродам! Не согнуть стальной стержень человеческого превосходства и воли к победе! Люди - the BEST FOREVER!",9
"Вот вторая книга Перумова (первая - Война Богов) которая описывает масштабные сражения и битвы. Целая Империя начинает войну сама с собой, раздираемая на куски враждебными соседями. И тут на свет выходят два могучих артефакта, ведомые дану и гномами... Устоит ли Империя?",10
"Описание зловещих подземелий с притаившимися повсюду монстрами на высоте. Читать эту книгу лучше всего ночью, в грозу, при свете ручного фанарика, в заброшенном тёмном склепе... Или на худой конец вечерком у себя дома, при свете настольной лампы :-)",9
"Читая ""Лабиринт"" всем восприятием ощущаешь атмосферу виртуальной реальности. Веришь - это могло бы быть действительно так! И медленно погружаешься в состояние дип-психоза :-)",9
"Книга, несомненно повыше среднего уровня, но и не шедевр. Хотя мытарства героя попавшего в многочисленные проблемы и опутанного паутиной всякого рода трудностей наблюдать весьма интересно. К тому же в книге есть пара новых ""фишек"", оживляющих повествование.",8
"Весьма масштабно. Экшн действительно классный. К тому же не так много книг, где действительно можно оценить размах идеи автора. Ну так вот, эта книга из таких...",10
"Конечно, стиль Перумова отличается от стиля Толкина и упор в этой книге делается на сражения, схватки, а не на неторопливое описание странствий. Но! Но ИМХО это всего лишь другой угол зрения на события, которые возникнут в Средиземье через N-ое количество лет после подвига Фродо.",7
Два тома ни о чём... Читал через силу.,2
Одна из моих любимых книг. Любимое произведение у Перумова. И на мой взгляд лучшее в эпическом фэнтези! Апокалипсис в отдельно взятом мире. И его предотвращение путем искупления грехов! Все персонажи и сюжетные линии - все на 10 балов!,10
"Сразу хочу сказать, что Ритуал ? это чисто и исключительно женский роман в том плане, в котором я его понимаю, то есть ИМХО. Что не понравилось. Штампы, кругом штампы, которые встретишь, если не фэнтезийный книгах, то уж точно в куче мелодрам. Второе, мне совершенно не понятны были поступки героев (ну не могут вести себя так нормальные люди). Знаете, я еще заметил, что как правило в произведениях, написанных женщинами, мужики обычно не похожи на мужиков, и тут это представлено совершенно наглядно. Особенно в Горелой башне ? не парень, а какая-то истеричная, безвольная девушка, если не сказать грубее. Не покидает ощущение наивности и надуманности всего происходящего. И даже красивый, образный язык местами смотрится совершенно не к месту (зачем, к примеру, описывать как дышало море, когда в воде из последних сил барахтается Юта, которую в любой момент может долбануть о скалы?). Главная героиня под конец стала совершенно раздражать ? капризная и глупая особа, которая чуть не погубила дракона и погубила неплохого правителя. Что еще не понравилось? Ружья развесили, а вот пострелять из них забыли. Например ничего не сказано о том, кто спит под замком. Хорошо, хоть Юкка под конец вылез. В довесок скажу, что сюжет банален и прозрачен до невозможности ? уже с первых страниц было ясно чем это все кончится. Не знаю насчет философии - это скорее проза образов и эмоций. Краски настроения, а не мазки действия. Мало радостного, однако, вполне понимаю, что тот же Ритуал может понравиться многим, просто это будут люди с совершенно другими вкусами, нежели у меня.",3
"Шпора Персея - вовсе не про войну, как оно может показаться по издательской аннотации... Скорее, про жизнь одного типичного для мыльных опер персонажа - состоятельного мужчины-индивидуалиста, бросившего своё черезчур богатое семейство с целью жить и кормиться дайвингом и туристическими услугами на одной из отдалённых планет-колоний... Вот только от семьи не сбежишь - неприятности волей-неволей настигают нашего героя... Больше всего книга напоминает производственный роман из жизни акционеров крупной компании, фантастического в ней - по минимуму...",7
Это классика!!!,10
"странный детектив расследующий странные ситуации.. если уж цепляет, то цепляет сильно для меня стала одной из настольных книг.",10
"Одно из самых неоднозначных произведений последнего времени. К сожалению ""Ангелы и демоны"" мною пока не прочитаны, но и по поводу этой книги сломано уже очень много копий в форумах... Многие идеи очень спорные, но Браун не является их автором, он их лишь скомпоновал и интегрировал в интересный сюжет. На мой взгляд книга более чем достойна прочтения, сюжет увлекает, а кого-то, быть может, потом заинтересует покопаться в более серьёзных книгах с целью изучить поднятые вопросы поподробнее. Я вот не поленился :)",8
"Люблю оригинальную серию, а продолжение нудное и вялое сюжет прямо из пальца высасывали!",5
"случайно попалась книга и зачаровала с первых страниц идея сюжета не нова, а изложение прекрасное",9
"За ночь прочитал ?Азазель? Акунина, вдохновившись замечательным фильмом ?Турецкий гамбит?. Слог и сюжет по началу понравились ? по крайней мере, необычно в наше время смотрится стилизация под романы конца девятнадцатого века. Правда описаний мало ? в основном действие, и время от времени размышления. Вообще довольно легкое чтение, не отягощенное ни философией, ни глубокими мыслями, ни шибко заковыристыми и душещипательными сюжетными коллизиями. Тем не менее читалось легко и с интересом. Показалось чем-то средним между антуражем Достоевского и приключениями незабвенного Шерлока Холмса. И все было бы хорошо, если бы не стало так хреново. Господа, такие концовки нужно уметь писать ? финал настолько бездарен, что просто оторопь берет, как ТАКОЕ покупают взрослые люди и не скрывая гордятся приобщением к такой культуре. Короче, концовка оказалась настолько банальной, что площе могут быть только американские комиксы про супергероев. Спятивший доктор, претендующая на мировое господство злодейка и среди всего этого безобразия новоиспеченный супермен и Джеймс Бонд в одном лице ? наш уважаемый ?молокосос? Эраст Фандорин! Что еще может быть попсовей и затертей? Да, ребята, это надо уметь настолько испоганить впечатление. Зато какие цены на книги! А ведь далеко не последний писатель, что самое обидное. Короче, я в растерянности. Читать продолжения не хочу.",5
"Совсем неплохо смотрится даже на фоне Семеновой. Рекомендую любителям качественных боев на мечах, воинской философии и любителям Древней Руси ? все очень ярко и достоверно прописано. Часто бывает, что читаешь и не шибко-то веришь в реальность описываемого мира, а тут автору удалось создать очень правдоподобный мир (ИМХА, конечно). Магии там не много, тем не менее, кое-то присутствует, да и вообще заметил, что в славянском фэнтези магия наподобие перумовской практически не присутствует. Буду искать продолжение",8
"Человеку, впервые столкнувшемуся с понятием ""вампир"", лучше всего начать с ""Дракулы"". Книга неплохая, Стокер выдерживает мистический стиль, держа читателя за горло до последнего вздоха...",7
"Лучше чем Азазель. Было очень интересно не только узнать, чем закончится, но и каким образом! Но, в любом случае, это легкое детективное чтиво, а не серьезная литература.",7
"Я купилась на то, что в описалове говорилось про язык Достоевского. И правда - начало пошло хорошо! Красиво пишет, ничего не могу сказать, то чем дальше в лес... Банально. Согласна с Юриком, что финал отвратителен. В других книгах получше. Легкое чтиво. Детектив. Истории мало. Понравится любителям легких детективных романов, особенно тем, кому нравится хороший слог и стиль. В любом случае, лучше Донцовой!",6
